Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ó$	ó/o	àgóogó	Hausa	1	U+00f3 U+0024
ùh	ù/u h	tùhúmtàa	Hausa	1	U+00f9 U+0068
'î	ʔ î/i	shà'îr̃	Hausa	1	U+0027 U+00ee
f$	ɸ	kwâf	Hausa	1	U+0066 U+0024
b$	b	r̃ôb	Hausa	1	U+0062 U+0024
ss	sː	sássàƙáa	Hausa	1	U+0073 U+0073
ȏ	ȏ/o	màr̃tȏo	Hausa	1	U+020f
ɓɓ	ɓː	ɓúɓɓúkéekèe	Hausa	1	U+0253 U+0253
ê$	ê/e	kàfê	Hausa	1	U+00ea U+0024
ów	ó/o w	ƙólóolówáa	Hausa	1	U+00f3 U+0077
^é	é/e	émtì	Hausa	1	U+005e U+00e9
^J	Dʒ/dʒ	Júmmá’àa	Hausa	1	U+005e U+004a
^à$	à/a	à	Hausa	1	U+005e U+00e0 U+0024
$	NULL	yána$yìi	Hausa	1	U+0024
î$	î/i	tìsî	Hausa	1	U+00ee U+0024
^T	T/t	Tàláatà	Hausa	1	U+005e U+0054
^’y	ʔʲ	’yár̃ ítàacée	Hausa	1	U+005e U+2019
^ó	ó/o	óobìn	Hausa	1	U+005e U+00f3
ô$	ô/o	bàmbô	Hausa	1	U+00f4 U+0024
ìs	ì/i s	tìsî	Hausa	1	U+00ec U+0073
àh$	à/a h	Allàh	Hausa	1	U+00e0 U+0068 U+0024
ms	m s	ámsàa	Hausa	1	U+006d U+0073
ìsh	ì/i ʃ	yí átìsháa	Hausa	1	U+00ec U+0073 U+0068
^À	À/a	Àlhàmîs	Hausa	1	U+005e U+00c0
r̃r̃	rː	jár̃r̃àbáa	Hausa	1	U+0072 U+0303 U+0072 U+0303
rr	ɽː	rárràfáa	Hausa	1	U+0072 U+0072
âs$	â/a s	bâs	Hausa	1	U+00e2 U+0073 U+0024
^A	A/a	Allàh	Hausa	1	U+005e U+0041
^Às	à/a s	Àsábàr̃	Hausa	1	U+005e U+00c0 U+0073
p$	p	jîp	Hausa	1	U+0070 U+0024
^ìsh	ì/i ʃ	ìsháar̃àa	Hausa	1	U+005e U+00ec U+0073 U+0068
ee	eː	sàareewàa	Hausa	1	U+0065 U+0065
^i	i	ita	Hausa	1	U+005e U+0069
áa	áa/aː				
àa	àa/aː				
áa$	áa/aː				
àa$	àa/aː				
^áa	áa/aː				
ìi$	ìi/iː				
ìi	ìi/iː				
íi$	íi/iː				
íi	íi/iː				
^íi$	íi/iː				
óo	óo/oː				
òo	òo/oː				
óo$	óo/oː				
òo$	òo/oː				
^óo	óo/oː				
ky	kʲ				
^ky	kʲ				
