Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
si’ime (2)	<???>	si’ime (2)	Yaqui	1	U+0073 U+0069 U+2019 U+0069 U+006d U+0065 U+0020 U+0028 U+0032 U+0029
japte (1)	<???>	japte (1)	Yaqui	1	U+006a U+0061 U+0070 U+0074 U+0065 U+0020 U+0028 U+0031 U+0029
ania (1)	<???>	ania (1)	Yaqui	1	U+0061 U+006e U+0069 U+0061 U+0020 U+0028 U+0031 U+0029
sepia ~ sep	<???>	sepia ~ sep	Yaqui	1	U+0073 U+0065 U+0070 U+0069 U+0061 U+0020 U+007e U+0020 U+0073 U+0065 U+0070
taata (1)	<???>	taata (1)	Yaqui	1	U+0074 U+0061 U+0061 U+0074 U+0061 U+0020 U+0028 U+0031 U+0029
lipti ~ ripti	<???>	lipti ~ ripti	Yaqui	1	U+006c U+0069 U+0070 U+0074 U+0069 U+0020 U+007e U+0020 U+0072 U+0069 U+0070 U+0074 U+0069
kaate (2)	<???>	kaate (2)	Yaqui	1	U+006b U+0061 U+0061 U+0074 U+0065 U+0020 U+0028 U+0032 U+0029
los ~ dos	<???>	los ~ dos	Yaqui	1	U+006c U+006f U+0073 U+0020 U+007e U+0020 U+0064 U+006f U+0073
too ~ tooro	<???>	too ~ tooro	Yaqui	1	U+0074 U+006f U+006f U+0020 U+007e U+0020 U+0074 U+006f U+006f U+0072 U+006f
dudaroa ~ ruraroa	<???>	dudaroa ~ ruraroa	Yaqui	1	U+0064 U+0075 U+0064 U+0061 U+0072 U+006f U+0061 U+0020 U+007e U+0020 U+0072 U+0075 U+0072 U+0061 U+0072 U+006f U+0061
ll	ll	allea	Yaqui	1	U+006c U+006c
^g	g	geer	Yaqui	1	U+005e U+0067
e’e (1)	<???>	e’e (1)	Yaqui	1	U+0065 U+2019 U+0065 U+0020 U+0028 U+0031 U+0029
lotor ~ lotoor	<???>	lotor ~ lotoor	Yaqui	1	U+006c U+006f U+0074 U+006f U+0072 U+0020 U+007e U+0020 U+006c U+006f U+0074 U+006f U+006f U+0072
jiabijte(i)	<???>	jiabijte(i)	Yaqui	1	U+006a U+0069 U+0061 U+0062 U+0069 U+006a U+0074 U+0065 U+0028 U+0069 U+0029
e’e (2)	<???>	e’e (2)	Yaqui	1	U+0065 U+2019 U+0065 U+0020 U+0028 U+0032 U+0029
laata ~ plaata	<???>	laata ~ plaata	Yaqui	1	U+006c U+0061 U+0061 U+0074 U+0061 U+0020 U+007e U+0020 U+0070 U+006c U+0061 U+0061 U+0074 U+0061
pojte (1)	<???>	pojte (1)	Yaqui	1	U+0070 U+006f U+006a U+0074 U+0065 U+0020 U+0028 U+0031 U+0029
pale ~ paale	<???>	pale ~ paale	Yaqui	1	U+0070 U+0061 U+006c U+0065 U+0020 U+007e U+0020 U+0070 U+0061 U+0061 U+006c U+0065
rw	rw	sorwo	Yaqui	1	U+0072 U+0077
pw	pw	jujupwame	Yaqui	1	U+0070 U+0077
te’opo (1)	<???>	te’opo (1)	Yaqui	1	U+0074 U+0065 U+2019 U+006f U+0070 U+006f U+0020 U+0028 U+0031 U+0029
