Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
kabur (2)	<???>	kabur (2)	Indonesian	1	U+006b U+0061 U+0062 U+0075 U+0072 U+0020 U+0028 U+0032 U+0029
susu (2)	<???>	susu (2)	Indonesian	1	U+0073 U+0075 U+0073 U+0075 U+0020 U+0028 U+0032 U+0029
^J	<?>	Jum'at	Indonesian	1	U+005e U+004a
(burung) gagak	<???>	(burung) gagak	Indonesian	1	U+0028 U+0062 U+0075 U+0072 U+0075 U+006e U+0067 U+0029 U+0020 U+0067 U+0061 U+0067 U+0061 U+006b
ls	ls	sumpah palsu	Indonesian	1	U+006c U+0073
(ikan) paus	<???>	(ikan) paus	Indonesian	1	U+0028 U+0069 U+006b U+0061 U+006e U+0029 U+0020 U+0070 U+0061 U+0075 U+0073
'a	'a	Jum'at	Indonesian	1	U+0027 U+0061
diam (1)	<???>	diam (1)	Indonesian	1	U+0064 U+0069 U+0061 U+006d U+0020 U+0028 U+0031 U+0029
^T	<?>	TV	Indonesian	1	U+005e U+0054
^sh	sh	sholat	Indonesian	1	U+005e U+0073 U+0068
T	<?>	WTS	Indonesian	1	U+0054
pekan (2)	<???>	pekan (2)	Indonesian	1	U+0070 U+0065 U+006b U+0061 U+006e U+0020 U+0028 U+0032 U+0029
(pintu) gerbang	<???>	(pintu) gerbang	Indonesian	1	U+0028 U+0070 U+0069 U+006e U+0074 U+0075 U+0029 U+0020 U+0067 U+0065 U+0072 U+0062 U+0061 U+006e U+0067
(di) bawah	<???>	(di) bawah	Indonesian	1	U+0028 U+0064 U+0069 U+0029 U+0020 U+0062 U+0061 U+0077 U+0061 U+0068
plat (mobil)	<???>	plat (mobil)	Indonesian	1	U+0070 U+006c U+0061 U+0074 U+0020 U+0028 U+006d U+006f U+0062 U+0069 U+006c U+0029
(burung) bétét	<???>	(burung) bétét	Indonesian	1	U+0028 U+0062 U+0075 U+0072 U+0075 U+006e U+0067 U+0029 U+0020 U+0062 U+00e9 U+0074 U+00e9 U+0074
mengubur(kan)	<???>	mengubur(kan)	Indonesian	1	U+006d U+0065 U+006e U+0067 U+0075 U+0062 U+0075 U+0072 U+0028 U+006b U+0061 U+006e U+0029
(hari) Ahad	<???>	(hari) Ahad	Indonesian	1	U+0028 U+0068 U+0061 U+0072 U+0069 U+0029 U+0020 U+0041 U+0068 U+0061 U+0064
^és	és	ésok	Indonesian	1	U+005e U+00e9 U+0073
(buah) zaitun	<???>	(buah) zaitun	Indonesian	1	U+0028 U+0062 U+0075 U+0061 U+0068 U+0029 U+0020 U+007a U+0061 U+0069 U+0074 U+0075 U+006e
gempa (bumi/tektonik)	<???>	gempa (bumi/tektonik)	Indonesian	1	U+0067 U+0065 U+006d U+0070 U+0061 U+0020 U+0028 U+0062 U+0075 U+006d U+0069 U+002f U+0074 U+0065 U+006b U+0074 U+006f U+006e U+0069 U+006b U+0029
K$	<?>	PSK	Indonesian	1	U+004b U+0024
(di) atas	<???>	(di) atas	Indonesian	1	U+0028 U+0064 U+0069 U+0029 U+0020 U+0061 U+0074 U+0061 U+0073
siang (1)	<???>	siang (1)	Indonesian	1	U+0073 U+0069 U+0061 U+006e U+0067 U+0020 U+0028 U+0031 U+0029
S	<?>	PSK	Indonesian	1	U+0053
puji(an)	<???>	puji(an)	Indonesian	1	U+0070 U+0075 U+006a U+0069 U+0028 U+0061 U+006e U+0029
(sepatu) bot	<???>	(sepatu) bot	Indonesian	1	U+0028 U+0073 U+0065 U+0070 U+0061 U+0074 U+0075 U+0029 U+0020 U+0062 U+006f U+0074
menyesal(i)	<???>	menyesal(i)	Indonesian	1	U+006d U+0065 U+006e U+0079 U+0065 U+0073 U+0061 U+006c U+0028 U+0069 U+0029
pasang-surut (laut)	<???>	pasang-surut (laut)	Indonesian	1	U+0070 U+0061 U+0073 U+0061 U+006e U+0067 U+002d U+0073 U+0075 U+0072 U+0075 U+0074 U+0020 U+0028 U+006c U+0061 U+0075 U+0074 U+0029
éh$	éh	téh	Indonesian	1	U+00e9 U+0068 U+0024
saudara (kandung)	<???>	saudara (kandung)	Indonesian	1	U+0073 U+0061 U+0075 U+0064 U+0061 U+0072 U+0061 U+0020 U+0028 U+006b U+0061 U+006e U+0064 U+0075 U+006e U+0067 U+0029
(burung) merpati	<???>	(burung) merpati	Indonesian	1	U+0028 U+0062 U+0075 U+0072 U+0075 U+006e U+0067 U+0029 U+0020 U+006d U+0065 U+0072 U+0070 U+0061 U+0074 U+0069
pasang (1)	<???>	pasang (1)	Indonesian	1	U+0070 U+0061 U+0073 U+0061 U+006e U+0067 U+0020 U+0028 U+0031 U+0029
pertengkaran (mulut)	<???>	pertengkaran (mulut)	Indonesian	1	U+0070 U+0065 U+0072 U+0074 U+0065 U+006e U+0067 U+006b U+0061 U+0072 U+0061 U+006e U+0020 U+0028 U+006d U+0075 U+006c U+0075 U+0074 U+0029
S$	<?>	WTS	Indonesian	1	U+0053 U+0024
pasang (2)	<???>	pasang (2)	Indonesian	1	U+0070 U+0061 U+0073 U+0061 U+006e U+0067 U+0020 U+0028 U+0032 U+0029
cerobong (asap)	<???>	cerobong (asap)	Indonesian	1	U+0063 U+0065 U+0072 U+006f U+0062 U+006f U+006e U+0067 U+0020 U+0028 U+0061 U+0073 U+0061 U+0070 U+0029
memberi(kan)	<???>	memberi(kan)	Indonesian	1	U+006d U+0065 U+006d U+0062 U+0065 U+0072 U+0069 U+0028 U+006b U+0061 U+006e U+0029
nyala (api)	<???>	nyala (api)	Indonesian	1	U+006e U+0079 U+0061 U+006c U+0061 U+0020 U+0028 U+0061 U+0070 U+0069 U+0029
^K	<?>	Kamis	Indonesian	1	U+005e U+004b
pokok (kayu)	<???>	pokok (kayu)	Indonesian	1	U+0070 U+006f U+006b U+006f U+006b U+0020 U+0028 U+006b U+0061 U+0079 U+0075 U+0029
mengaku(i)	<???>	mengaku(i)	Indonesian	1	U+006d U+0065 U+006e U+0067 U+0061 U+006b U+0075 U+0028 U+0069 U+0029
(di) depan	<???>	(di) depan	Indonesian	1	U+0028 U+0064 U+0069 U+0029 U+0020 U+0064 U+0065 U+0070 U+0061 U+006e
M$	<?>	SIM	Indonesian	1	U+004d U+0024
mencium (1)	<???>	mencium (1)	Indonesian	1	U+006d U+0065 U+006e U+0063 U+0069 U+0075 U+006d U+0020 U+0028 U+0031 U+0029
marga (2)	<???>	marga (2)	Indonesian	1	U+006d U+0061 U+0072 U+0067 U+0061 U+0020 U+0028 U+0032 U+0029
menggabung(kan)	<???>	menggabung(kan)	Indonesian	1	U+006d U+0065 U+006e U+0067 U+0067 U+0061 U+0062 U+0075 U+006e U+0067 U+0028 U+006b U+0061 U+006e U+0029
(burung) tukan	<???>	(burung) tukan	Indonesian	1	U+0028 U+0062 U+0075 U+0072 U+0075 U+006e U+0067 U+0029 U+0020 U+0074 U+0075 U+006b U+0061 U+006e
pekan (1)	<???>	pekan (1)	Indonesian	1	U+0070 U+0065 U+006b U+0061 U+006e U+0020 U+0028 U+0031 U+0029
alis (mata)	<???>	alis (mata)	Indonesian	1	U+0061 U+006c U+0069 U+0073 U+0020 U+0028 U+006d U+0061 U+0074 U+0061 U+0029
(yang) mana	<???>	(yang) mana	Indonesian	1	U+0028 U+0079 U+0061 U+006e U+0067 U+0029 U+0020 U+006d U+0061 U+006e U+0061
(anak) kunci	<???>	(anak) kunci	Indonesian	1	U+0028 U+0061 U+006e U+0061 U+006b U+0029 U+0020 U+006b U+0075 U+006e U+0063 U+0069
(ikan) lumba-lumba	<???>	(ikan) lumba-lumba	Indonesian	1	U+0028 U+0069 U+006b U+0061 U+006e U+0029 U+0020 U+006c U+0075 U+006d U+0062 U+0061 U+002d U+006c U+0075 U+006d U+0062 U+0061
^oo	oo	oom	Indonesian	1	U+005e U+006f U+006f
zina(h)	<???>	zina(h)	Indonesian	1	U+007a U+0069 U+006e U+0061 U+0028 U+0068 U+0029
