Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ésh	ésh	àdréshì	Kanuri	1	U+00e9 U+0073 U+0068
lètə́ (1)	<???>	lètə́ (1)	Kanuri	1	U+006c U+00e8 U+0074 U+0259 U+0301 U+0020 U+0028 U+0031 U+0029
^às	às	àsír	Kanuri	1	U+005e U+00e0 U+0073
dágə̀l (1)	<???>	dágə̀l (1)	Kanuri	1	U+0064 U+00e1 U+0067 U+0259 U+0300 U+006c U+0020 U+0028 U+0031 U+0029
ǒ$	ǒ	màsǒ	Kanuri	1	U+01d2 U+0024
dágə̀l (2)	<???>	dágə̀l (2)	Kanuri	1	U+0064 U+00e1 U+0067 U+0259 U+0300 U+006c U+0020 U+0028 U+0032 U+0029
ìs$	ìs	kúrìs	Kanuri	1	U+00ec U+0073 U+0024
kîr (f.)	<???>	kîr (f.)	Kanuri	1	U+006b U+00ee U+0072 U+0020 U+0028 U+0066 U+002e U+0029
âs	âs	ngâsô	Kanuri	1	U+00e2 U+0073
^ù	ù	ùgú	Kanuri	1	U+005e U+00f9
ə̔	ə̔	kə̔lâbê	Kanuri	1	U+0259 U+0314
