Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^aˤ	aˤ	aˤnšaˤ bos, aˤrbatːut iq	Archi	4	U+005e U+0061 U+02e4
c$	c	bac, hinc	Archi	4	U+0063 U+0024
iˤ	iˤ	niˤšiˤt oq’is, diˤčatːut	Archi	4	U+0069 U+02e4
^eˤ	eˤ	eˤle, eˤhas	Archi	4	U+005e U+0065 U+02e4
qˤ$	qˤ	daqˤ, ɬːánnaqˤ	Archi	4	U+0071 U+02e4 U+0024
kʼ$	kʼ	muštʼukʼ, kʼokʼ	Archi	4	U+006b U+02bc U+0024
^aː	aː	aːtas, aːcʼutːut	Archi	4	U+005e U+0061 U+02d0
čʼ$	tʃʼ	učʼ, lilmučʼ	Archi	4	U+010d U+02bc U+0024
^qʷ	qʷ	qʷat'linnu, qʷan	Archi	4	U+005e U+0071 U+02b7
ħ$	ħ	talaħ, tempiħ	Archi	4	U+0127 U+0024
^ʁ	ʁ	ʁalbac', ʁatːəra	Archi	4	U+005e U+0281
^χːʷ	χːʷ	χːʷak, χːʷalli	Archi	3	U+005e U+03c7 U+02d0 U+02b7
gʷ	gʷ	kɬ'ir gʷarči, hoti gʷarqː'i	Archi	3	U+0067 U+02b7
cː	cː	acː'ilinnu, darcː'an	Archi	3	U+0063 U+02d0
^χʷ	χʷ	χʷimc', χʷetːi	Archi	3	U+005e U+03c7 U+02b7
á	á/a	ɬːánnaqˤ, q'ˤábʁˤdut	Archi	3	U+00e1
h$	h	peˤh, allah	Archi	3	U+0068 U+0024
šː	ʃː	rišːitːu, uˤnšːəla	Archi	3	U+0161 U+02d0
^uˤ	uˤ	uˤrdek, uˤnšːəla	Archi	3	U+005e U+0075 U+02e4
qʼ	qʼ	paqʼut, kʷačʼetːut baqʼarankul	Archi	3	U+0071 U+02bc
cːʼ	tsːʼ	acːʼi, bucːʼičʼabu	Archi	3	U+0063 U+02d0 U+02bc
g$	g	rang, tung	Archi	3	U+0067 U+0024
í	í/i	iq'ˤíl as, kɬ'illíkɬ' berɬːi	Archi	3	U+00ed
rh	r h	arhas	Archi	3	U+0072 U+0068
χˤ$	χˤ	eχˤ, libχˤ	Archi	3	U+03c7 U+02e4 U+0024
ʔ	ʔ	aʔbos, paʔbos	Archi	3	U+0294
ʁˤ	ʁˤ	q'ˤábʁˤdut, burʁˤurbos	Archi	3	U+0281 U+02e4
χʷ	χʷ	k'ʷet' χʷaršilin χal, k'ʷet' χʷarši	Archi	2	U+03c7 U+02b7
ž$	ʒ	χarž, birinž	Archi	2	U+017e U+0024
z$	z	qaz, kʼaz	Archi	2	U+007a U+0024
^i$	i	i	Archi	2	U+005e U+0069 U+0024
^iː	iː	iːzut, iːzut di	Archi	2	U+005e U+0069 U+02d0
qʼˤ	qˤʼ	deqʼˤlin iq, aqʼˤul	Archi	2	U+0071 U+02bc U+02e4
x	x	haraxut eɬmul, oxas	Archi	2	U+0078
^qʼʷ	qʷʼ	qʼʷil	Archi	2	U+005e U+0071 U+02bc U+02b7
é	é/e	q'ʷˤét'u abutːib, χːˤološgértːi	Archi	2	U+00e9
ʁ$	ʁ	jaraʁ, baʁ	Archi	2	U+0281 U+0024
qʼʷ$	qʷʼ	naqʼʷ, biqʼʷ	Archi	2	U+0071 U+02bc U+02b7 U+0024
eː	eː	ʕeleːžu, beːχutːut	Archi	2	U+0065 U+02d0
qʼˤ$	qˤʼ	deqʼˤ, liqʼˤ	Archi	2	U+0071 U+02bc U+02e4 U+0024
kʷ$	kʷ	makʷ, bakʷ	Archi	2	U+006b U+02b7 U+0024
^qʼˤ	qˤʼ	qʼˤutʼ, qʼˤahba	Archi	2	U+005e U+0071 U+02bc U+02e4
ɬʷ$	ɬʷ	diɬʷ, bikɬʷ	Archi	2	U+026c U+02b7 U+0024
uː	uː	kuːt’atːut, huːliši	Archi	2	U+0075 U+02d0
^šːʷ	ʃːʷ	šːʷit’bos, šːʷaˤltʼ	Archi	2	U+005e U+0161 U+02d0 U+02b7
ɮ	ɮ	naˤɮdut, kɬ'eɮdut	Archi	2	U+026e
oːˤ	oːˤ	doːˤzu ušdu, doːˤzur došdur	Archi	2	U+006f U+02d0 U+02e4
^šˤ	ʃˤ	šˤal, šˤes	Archi	2	U+005e U+0161 U+02e4
v	v	piva, četverg	Archi	2	U+0076
^x	x	xilikɬʼ sas	Archi	1	U+005e U+0078
oː	oː	basahoːnu	Archi	1	U+006f U+02d0
^qʷˤ	qˤʷ	qʷˤen	Archi	1	U+005e U+0071 U+02b7 U+02e4
^sw	s w	sweča	Archi	1	U+005e U+0073 U+0077
rsː	r sː	barsːon	Archi	1	U+0072 U+0073 U+02d0
^žʷ	ʒʷ	žʷen	Archi	1	U+005e U+017e U+02b7
^ʁˤ	ʁˤ	ʁˤažbos	Archi	1	U+005e U+0281 U+02e4
qːʼ	qːʼ	muqːʼa	Archi	1	U+0071 U+02d0 U+02bc
ls	l s	ɬalsbos	Archi	1	U+006c U+0073
^iˤ	iˤ	iˤntim maj	Archi	1	U+005e U+0069 U+02e4
wh	w h	žawhar	Archi	1	U+0077 U+0068
kʷ	kʷ	χˤabχˤilin kʷar	Archi	1	U+006b U+02b7
qʷˤ	qˤʷ	oˤroˤs qʷˤib	Archi	1	U+0071 U+02b7 U+02e4
ss$	sː	qʼarzlis šːubuss	Archi	1	U+0073 U+0073 U+0024
q’ʷˤ	qˤʷ’	moc’or q’ʷˤe	Archi	1	U+2019 U+02b7 U+02e4
pp	pː	qippus	Archi	1	U+0070 U+0070
č‘	tʃʼ	č‘uˤhdu	Archi	1	U+2018
^šʷ	ʃʷ	šʷitʼəla	Archi	1	U+005e U+0161 U+02b7
uː$	uː	q'ˤásetːituː	Archi	1	U+0075 U+02d0 U+0024
ns$	n s	ans	Archi	1	U+006e U+0073 U+0024
q’ʷ$	qʷ’	naq’ʷ	Archi	1	U+2019 U+02b7 U+0024
tw	t w	atworka	Archi	1	U+0074 U+0077
ms$	m s	χːams	Archi	1	U+006d U+0073 U+0024
^oː	oː	oːk'ur	Archi	1	U+005e U+006f U+02d0
ns	n s	jonsaw	Archi	1	U+006e U+0073
^aːˤ	aːˤ	aːˤšas	Archi	1	U+005e U+0061 U+02d0 U+02e4
aːˤ	aːˤ	čʼaːˤri	Archi	1	U+0061 U+02d0 U+02e4
q'ˤ$	qˤ’	diq'ˤ	Archi	1	U+0027 U+02e4 U+0024
oˤ$	oˤ	zoˤk'noˤ	Archi	1	U+006f U+02e4 U+0024
kʼʷ$	kʷʼ	ikʼʷ	Archi	1	U+006b U+02bc U+02b7 U+0024
^ʁʷˤ	ʁˤʷ	ʁʷˤalqˤi	Archi	1	U+005e U+0281 U+02b7 U+02e4
ʁʷˤ	ʁˤʷ	iʁʷˤdut	Archi	1	U+0281 U+02b7 U+02e4
q'ʷˤ$	qˤʷ’	marq'ʷˤ	Archi	1	U+0027 U+02b7 U+02e4 U+0024
eˤ$	eˤ	tʼeˤ	Archi	1	U+0065 U+02e4 U+0024
q’ˤ$	qˤ’	deq’ˤ	Archi	1	U+2019 U+02e4 U+0024
é	é/e	χːˤološgértːi	Archi		
í	í/i	kɬ'illíkɬ' berɬːi	Archi		
á	á/a	q'ˤásetːituː	Archi		
t’	tʼ	bičʼ bit’utːu	Archi		
ɬ'	ɬʼ	kɬ'illíkɬ' berɬːi	Archi		
t'	tʼ	k'ʷet' χʷarši, k'ʷet' χʷaršilin χal	Archi		
^q'ʷ	qʷʼ	q'ʷˤaq'ˤartːu	Archi		
^q’	qʼ	q’a	Archi		
q’	qʼ	niˤšiˤt oq’is	Archi		
q'ˤ	qˤʼ	baq'ˤas	Archi		
q’ˤ$	qˤʼ	deq’ˤ	Archi		
^q'ˤ	qˤʼ	q'ˤas	Archi		
q’ˤ	qˤʼ	deq’ˤlit χos	Archi		
^t’	tʼ	t’itːu ušdu	Archi		
^c’	cʼ	c’aj	Archi		
k'$	kʼ	χːurk'	Archi		
^k'ʷ	kʷʼ	k'ʷet' χʷarši	Archi		
k'ʷ	kʷʼ	ik’ʷ ostitːut	Archi		
k’	kʼ	ek’as	Archi		
c’$	cʼ	nac’	Archi		
c'$	cʼ	χʷimc'	Archi		
^kʷ’	kʷʼ	kʷ’atːu	Archi		
č’	tʃʼ	guruč’an	Archi		
ɬ’	ɬʼ	tekɬ’on	Archi		
^k’	kʼ	k’elkes	Archi		
^č‘	tʃʼ	č‘uˤhdu	Archi		
q’ʷ	qʷʼ	laq’ʷas	Archi		
q'ʷ	qʷʼ	eq'ʷmus	Archi		
^q'ʷˤ	qˤʷʼ	q'ʷˤijla	Archi		
q'ʷˤ$	qˤʷʼ	marq'ʷˤ	Archi		
^q’ʷ	qʷʼ	q’ʷatːut	Archi		
k’ʷ	kʷʼ	ik’ʷ ostitːut	Archi		
^k’	kʼ	k’elkes	Archi		
q’ʷˤ	qˤʷ’	moc’or q’ʷˤe	Archi		
q'$	q’	q'alaq' uˤrbət'i	Archi		
qː'ˤ	qːˤ’	iqː'ˤa	Archi		
q'ʷ$	qʷ’	naq'ʷ	Archi		
q'ʷˤ	qˤʷ’	erq'ʷˤmus	Archi		
q'	qʼ	q'alaq' uˤrbət'i	Archi		
^č’	tʃʼ	č’ik’ijtːu	Archi		
č'$	tʃʼ	χilikɬ' mač'	Archi		
kɬ'ʷ	kɬʷʼ	babkɬ'ʷ	Archi		
<	NULL				
>	NULL				
cː'	tsːʼ				
aːˤ	aːˤ				
c'	tsʼ				
k'	kʼ				
^k'	kʼ				
^q'	qʼ				
^č'	tʃʼ				
^c’	tsʼ				
c’	tsʼ				
č'	tʃʼ				
qː'	qːʼ				
^t'	tʼ				
^p'	pʼ				
^c'	tsʼ				
