Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ós$	ós	kilós, inós	Iraqw	2	U+00f3 U+0073 U+0024
^ó	ó	óo shuulee, óo qanhhi	Iraqw	2	U+005e U+00f3
nw	nw	anwaani	Iraqw	1	U+006e U+0077
b$	b	bab	Iraqw	1	U+0062 U+0024
dawa (2)	<???>	dawa (2)	Iraqw	1	U+0064 U+0061 U+0077 U+0061 U+0020 U+0028 U+0032 U+0029
uma (2)	<???>	uma (2)	Iraqw	1	U+0075 U+006d U+0061 U+0020 U+0028 U+0032 U+0029
-	<?>	kil’-	Iraqw	1	U+002d
bara (1)	<???>	bara (1)	Iraqw	1	U+0062 U+0061 U+0072 U+0061 U+0020 U+0028 U+0031 U+0029
rs	rs	murslaqat	Iraqw	1	U+0072 U+0073
ll	ll	filliimbi	Iraqw	1	U+006c U+006c
bara (2)	<???>	bara (2)	Iraqw	1	U+0062 U+0061 U+0072 U+0061 U+0020 U+0028 U+0032 U+0029
xs	xs	gixsa	Iraqw	1	U+0078 U+0073
ooh (2)	<???>	ooh (2)	Iraqw	1	U+006f U+006f U+0068 U+0020 U+0028 U+0032 U+0029
lhh	lhh	malhhari	Iraqw	1	U+006c U+0068 U+0068
hw	hw	kahwa	Iraqw	1	U+0068 U+0077
hhs	hhs	dahhsani	Iraqw	1	U+0068 U+0068 U+0073
^z	z	zahabu	Iraqw	1	U+005e U+007a
uma (1)	<???>	uma (1)	Iraqw	1	U+0075 U+006d U+0061 U+0020 U+0028 U+0031 U+0029
^j	j	jeela	Iraqw	1	U+005e U+006a
^o	o	oili	Iraqw	1	U+005e U+006f
ks	ks	soksi	Iraqw	1	U+006b U+0073
qs	qs	muqsli	Iraqw	1	U+0071 U+0073
^o$	o	o	Iraqw	1	U+005e U+006f U+0024
lw	lw	ilwa	Iraqw	1	U+006c U+0077
