Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
1mje (1)	<???>	1mje (1)	Manange	1	U+0031 U+006d U+006a U+0065 U+0020 U+0028 U+0031 U+0029
β	β	gʌβʌrmʌnt	Manange	1	U+03b2
jo (2)	<???>	jo (2)	Manange	1	U+006a U+006f U+0020 U+0028 U+0032 U+0029
1tsʌtsʌ (1)	<???>	1tsʌtsʌ (1)	Manange	1	U+0031 U+0074 U+0073 U+028c U+0074 U+0073 U+028c U+0020 U+0028 U+0031 U+0029
3ʈi (2)	<???>	3ʈi (2)	Manange	1	U+0033 U+0288 U+0069 U+0020 U+0028 U+0032 U+0029
1ʃʌ (2)	<???>	1ʃʌ (2)	Manange	1	U+0031 U+0283 U+028c U+0020 U+0028 U+0032 U+0029
4ʂo (1)	<???>	4ʂo (1)	Manange	1	U+0034 U+0282 U+006f U+0020 U+0028 U+0031 U+0029
2tʃe (1)	<???>	2tʃe (1)	Manange	1	U+0032 U+0074 U+0283 U+0065 U+0020 U+0028 U+0031 U+0029
tʰẽ (2)	<???>	tʰẽ (2)	Manange	1	U+0074 U+02b0 U+1ebd U+0020 U+0028 U+0032 U+0029
2lẽ (1)	<???>	2lẽ (1)	Manange	1	U+0032 U+006c U+1ebd U+0020 U+0028 U+0031 U+0029
2tsu ~ 2tso=ko	<???>	2tsu ~ 2tso=ko	Manange	1	U+0032 U+0074 U+0073 U+0075 U+0020 U+007e U+0020 U+0032 U+0074 U+0073 U+006f U+003d U+006b U+006f
^u	u	ukpʌ	Manange	1	U+005e U+0075
^ʈʰ	ʈʰ	ʈʰoto 1kʰʌ	Manange	1	U+005e U+0288 U+02b0
1te (2)	<???>	1te (2)	Manange	1	U+0031 U+0074 U+0065 U+0020 U+0028 U+0032 U+0029
g	g	1gohi	Manange	1	U+0067
tʰẽ (1)	<???>	tʰẽ (1)	Manange	1	U+0074 U+02b0 U+1ebd U+0020 U+0028 U+0031 U+0029
1ʂi (2)	<???>	1ʂi (2)	Manange	1	U+0031 U+0282 U+0069 U+0020 U+0028 U+0032 U+0029
3pju (1)	<???>	3pju (1)	Manange	1	U+0033 U+0070 U+006a U+0075 U+0020 U+0028 U+0031 U+0029
1ʃo 2mle (1jʌ)	<???>	1ʃo 2mle (1jʌ)	Manange	1	U+0031 U+0283 U+006f U+0020 U+0032 U+006d U+006c U+0065 U+0020 U+0028 U+0031 U+006a U+028c U+0029
4kʰje (2)	<???>	4kʰje (2)	Manange	1	U+0034 U+006b U+02b0 U+006a U+0065 U+0020 U+0028 U+0032 U+0029
1tsʰo (1)	<???>	1tsʰo (1)	Manange	1	U+0031 U+0074 U+0073 U+02b0 U+006f U+0020 U+0028 U+0031 U+0029
2ʂi (2)	<???>	2ʂi (2)	Manange	1	U+0032 U+0282 U+0069 U+0020 U+0028 U+0032 U+0029
2mi (1)	<???>	2mi (1)	Manange	1	U+0032 U+006d U+0069 U+0020 U+0028 U+0031 U+0029
4kʷʰe (2)	<???>	4kʷʰe (2)	Manange	1	U+0034 U+006b U+02b7 U+02b0 U+0065 U+0020 U+0028 U+0032 U+0029
pʷʰ	pʷʰ	4pʷʰo	Manange	1	U+0070 U+02b7 U+02b0
ns	ns	hawa tʃansa	Manange	1	U+006e U+0073
4ʂo (2)	<???>	4ʂo (2)	Manange	1	U+0034 U+0282 U+006f U+0020 U+0028 U+0032 U+0029
1pʰo (1)	<???>	1pʰo (1)	Manange	1	U+0031 U+0070 U+02b0 U+006f U+0020 U+0028 U+0031 U+0029
2ŋi (1)	<???>	2ŋi (1)	Manange	1	U+0032 U+014b U+0069 U+0020 U+0028 U+0031 U+0029
tsʰu ~ tsʰəw 1kʰʌ 1mo	<???>	tsʰu ~ tsʰəw 1kʰʌ 1mo	Manange	1	U+0074 U+0073 U+02b0 U+0075 U+0020 U+007e U+0020 U+0074 U+0073 U+02b0 U+0259 U+0077 U+0020 U+0031 U+006b U+02b0 U+028c U+0020 U+0031 U+006d U+006f
1kjẽ (2)	<???>	1kjẽ (2)	Manange	1	U+0031 U+006b U+006a U+1ebd U+0020 U+0028 U+0032 U+0029
2ʂi (1)	<???>	2ʂi (1)	Manange	1	U+0032 U+0282 U+0069 U+0020 U+0028 U+0031 U+0029
^g	g	gʌβʌrmʌnt	Manange	1	U+005e U+0067
^e	e	eskul	Manange	1	U+005e U+0065
1kjẽ (1)	<???>	1kjẽ (1)	Manange	1	U+0031 U+006b U+006a U+1ebd U+0020 U+0028 U+0031 U+0029
ŋʷ	ŋʷ	2ŋʷo	Manange	1	U+014b U+02b7
1te (1)	<???>	1te (1)	Manange	1	U+0031 U+0074 U+0065 U+0020 U+0028 U+0031 U+0029
^pʷ	pʷ	pʷo	Manange	1	U+005e U+0070 U+02b7
2tʃoŋ ~ 2tʃoŋtʃoŋ	<???>	2tʃoŋ ~ 2tʃoŋtʃoŋ	Manange	1	U+0032 U+0074 U+0283 U+006f U+014b U+0020 U+007e U+0020 U+0032 U+0074 U+0283 U+006f U+014b U+0074 U+0283 U+006f U+014b
2u ~ 2ʃu	<???>	2u ~ 2ʃu	Manange	1	U+0032 U+0075 U+0020 U+007e U+0020 U+0032 U+0283 U+0075
4kʰje (1)	<???>	4kʰje (1)	Manange	1	U+0034 U+006b U+02b0 U+006a U+0065 U+0020 U+0028 U+0031 U+0029
th	th	1pʰo thẽ 1ʈu	Manange	1	U+0074 U+0068
2ŋi (2)	<???>	2ŋi (2)	Manange	1	U+0032 U+014b U+0069 U+0020 U+0028 U+0032 U+0029
1ʂi (1)	<???>	1ʂi (1)	Manange	1	U+0031 U+0282 U+0069 U+0020 U+0028 U+0031 U+0029
aʰ	aʰ	1taʰŋ	Manange	1	U+0061 U+02b0
2tʃe (2)	<???>	2tʃe (2)	Manange	1	U+0032 U+0074 U+0283 U+0065 U+0020 U+0028 U+0032 U+0029
ũ$	ũ	2kũ	Manange	1	U+0169 U+0024
2tʰi (2)	<???>	2tʰi (2)	Manange	1	U+0032 U+0074 U+02b0 U+0069 U+0020 U+0028 U+0032 U+0029
ls	ls	sʌ pʌlsʌŋ	Manange	1	U+006c U+0073
1tʰẽ (3)	<???>	1tʰẽ (3)	Manange	1	U+0031 U+0074 U+02b0 U+1ebd U+0020 U+0028 U+0033 U+0029
1ŋjaŋ (2tsʰaraŋ)	<???>	1ŋjaŋ (2tsʰaraŋ)	Manange	1	U+0031 U+014b U+006a U+0061 U+014b U+0020 U+0028 U+0032 U+0074 U+0073 U+02b0 U+0061 U+0072 U+0061 U+014b U+0029
2tʃu 2tʃu (lari)	<???>	2tʃu 2tʃu (lari)	Manange	1	U+0032 U+0074 U+0283 U+0075 U+0020 U+0032 U+0074 U+0283 U+0075 U+0020 U+0028 U+006c U+0061 U+0072 U+0069 U+0029
^ɫ	ɫ	ɫʌkʰaŋ	Manange	1	U+005e U+026b
2sẽ (2)	<???>	2sẽ (2)	Manange	1	U+0032 U+0073 U+1ebd U+0020 U+0028 U+0032 U+0029
seŋ (1)	<???>	seŋ (1)	Manange	1	U+0073 U+0065 U+014b U+0020 U+0028 U+0031 U+0029
1tʰẽ (2)	<???>	1tʰẽ (2)	Manange	1	U+0031 U+0074 U+02b0 U+1ebd U+0020 U+0028 U+0032 U+0029
^i	i	inʌr	Manange	1	U+005e U+0069
1mje (2)	<???>	1mje (2)	Manange	1	U+0031 U+006d U+006a U+0065 U+0020 U+0028 U+0032 U+0029
nʃ	nʃ	tenʃi	Manange	1	U+006e U+0283
1pʰo (2)	<???>	1pʰo (2)	Manange	1	U+0031 U+0070 U+02b0 U+006f U+0020 U+0028 U+0032 U+0029
1ʂa ~ 1hra ~ 1sʌtur	<???>	1ʂa ~ 1hra ~ 1sʌtur	Manange	1	U+0031 U+0282 U+0061 U+0020 U+007e U+0020 U+0031 U+0068 U+0072 U+0061 U+0020 U+007e U+0020 U+0031 U+0073 U+028c U+0074 U+0075 U+0072
jo (1)	<???>	jo (1)	Manange	1	U+006a U+006f U+0020 U+0028 U+0031 U+0029
1sʌ (2)	<???>	1sʌ (2)	Manange	1	U+0031 U+0073 U+028c U+0020 U+0028 U+0032 U+0029
2lẽ (2)	<???>	2lẽ (2)	Manange	1	U+0032 U+006c U+1ebd U+0020 U+0028 U+0032 U+0029
tʷ	tʷ	1tʷo	Manange	1	U+0074 U+02b7
lh	lh	4lho	Manange	1	U+006c U+0068
2sẽ (1)	<???>	2sẽ (1)	Manange	1	U+0032 U+0073 U+1ebd U+0020 U+0028 U+0031 U+0029
1ŋima (1)	<???>	1ŋima (1)	Manange	1	U+0031 U+014b U+0069 U+006d U+0061 U+0020 U+0028 U+0031 U+0029
^ʌ	ʌ	ʌŋkur	Manange	1	U+005e U+028c
3tʃaŋ (1)	<???>	3tʃaŋ (1)	Manange	1	U+0033 U+0074 U+0283 U+0061 U+014b U+0020 U+0028 U+0031 U+0029
^a$	a	a-	Manange	1	U+005e U+0061 U+0024
(2naka) 4pʰale	<???>	(2naka) 4pʰale	Manange	1	U+0028 U+0032 U+006e U+0061 U+006b U+0061 U+0029 U+0020 U+0034 U+0070 U+02b0 U+0061 U+006c U+0065
^lh	lh	lho	Manange	1	U+005e U+006c U+0068
1sʌ (1)	<???>	1sʌ (1)	Manange	1	U+0031 U+0073 U+028c U+0020 U+0028 U+0031 U+0029
ŋʃ	ŋʃ	laŋʃe	Manange	1	U+014b U+0283
2ta (1)	<???>	2ta (1)	Manange	1	U+0032 U+0074 U+0061 U+0020 U+0028 U+0031 U+0029
õ$	õ	1kõ	Manange	1	U+00f5 U+0024
kutti ~ lamkutti	<???>	kutti ~ lamkutti	Manange	1	U+006b U+0075 U+0074 U+0074 U+0069 U+0020 U+007e U+0020 U+006c U+0061 U+006d U+006b U+0075 U+0074 U+0074 U+0069
1ku (2)	<???>	1ku (2)	Manange	1	U+0031 U+006b U+0075 U+0020 U+0028 U+0032 U+0029
1tsʌtsʌ (2)	<???>	1tsʌtsʌ (2)	Manange	1	U+0031 U+0074 U+0073 U+028c U+0074 U+0073 U+028c U+0020 U+0028 U+0032 U+0029
