Grapheme	IPA	Languages
^lagoon$	l ə ɡ uː n	English
^lake$	l eɪ k	English
^lamb$	l æ m	English
^lame$	l ɑː m eɪ l eɪ m	English
^lamp$	l æ m p	English
^land$	l æ n d	English
^language$	l æ ŋ ɡ w ɪ dʒ	English
^larch$	l ɑː tʃ	English
^large$	l ɑː dʒ	English
^lasso$	l æ s uː	English
^last$	l ɑː s t	English
^latch$	l æ tʃ	English
^late$	l eɪ t	English
^laugh$	l ɑː f	English
^law$	l ɔː	English
^lazy$	l eɪ z ɪ	English
^lead$	l ɛ d l iː d	English
^leaf$	l iː f	English
^learn$	l ɜː n	English
^leather$	l ɛ ð ə ɹ	English
^leave$	l iː v	English
^left$	l ɛ f t	English
^leg$	l ɛ ɡ	English
^lemon$	l ɛ m ə n	English
^lend$	l ɛ n d	English
^let go$	???	English
^letter$	l ɛ t ə ɹ	English
^liberate$	l ɪ b ə r eɪ t	English
^lick$	l ɪ k	English
^lie$	l aɪ	English
^lie down$	l aɪ d aʊ n	English
^life$	l aɪ f	English
^lift$	l ɪ f t	English
^light$	l aɪ t	English
^lightning$	l aɪ t n ɪ ŋ	English
^lightning bolt$	???	English
^limp$	l ɪ m p	English
^line$	l aɪ n	English
^linen$	l ɪ n ɪ n	English
^lion$	l aɪ ə n	English
^lip$	l ɪ p	English
^listen$	l ɪ s n̩	English
^little$	l ɪ t l̩	English
^live$	l aɪ v l ɪ v	English
^liver$	l ɪ v ə ɹ	English
^livestock$	l aɪ v s t ɒ k	English
^lizard$	l ɪ z ə d	English
^lock$	l ɒ k	English
^long$	l ɒ ŋ	English
^look$	l ʊ k	English
^look for$	l ʊ k f ɔː ɹ	English
^loom$	l uː m	English
^lose$	l uː z	English
^loud$	l aʊ d	English
^louse$	l aʊ s	English
^love$	l ʌ v	English
^low$	l əʊ	English
^low tide$	l əʊ t aɪ d	English
^lunch$	l ʌ n tʃ	English
^lung$	l ʌ ŋ	English
^machine$	m ə ʃ iː n	English
^mad$	m æ d	English
^magic$	m æ dʒ ɪ k	English
^mainland$	m eɪ n l ə n d	English
^maize$	m eɪ z	English
^make$	m eɪ k	English
^make love$	???	English
^male$	m eɪ l	English
^man$	m æ n	English
^manioc$	m æ n ɪ ɒ k	English
^manner$	m æ n ə ɹ	English
^many$	m ɛ n ɪ	English
^mare$	m ɛə ɹ m ɑː r eɪ	English
^market$	m ɑː k ɪ t	English
^marry$	m æ r ɪ	English
^mason$	m eɪ s n̩	English
^mast$	m ɑː s t	English
^master$	m ɑː s t ə ɹ	English
^mat$	m æ t	English
^match$	m æ tʃ	English
^mattress$	m æ t r ɪ s	English
^mead$	m iː d	English
^meal$	m iː l	English
^mean$	m iː n	English
^measure$	m ɛ ʒ ə ɹ	English
^meat$	m iː t	English
^medicine$	m ɛ d s ɪ n	English
^meet$	m iː t	English
^merchant$	m ɜː tʃ ə n t	English
^midday$	m ɪ d d eɪ	English
^middle$	m ɪ d l̩	English
^midge$	m ɪ dʒ	English
^milk$	m ɪ l k	English
^mill$	m ɪ l	English
^millet$	m ɪ l ɪ t	English
^mind$	m aɪ n d	English
^minister$	m ɪ n ɪ s t ə ɹ	English
^mirror$	m ɪ r ə ɹ	English
^miss$	m ɪ s	English
^mistake$	m ɪ s t eɪ k	English
^mix$	m ɪ k s	English
^molar (tooth)$	???	English
^money$	m ʌ n ɪ	English
^monkey$	m ʌ ŋ k ɪ	English
^month$	m ʌ n θ	English
^moon$	m uː n	English
^moose$	m uː s	English
