Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
s	s	poste, pasto	Otomi	45	U+0073
^z	z	zitsí, zaa	Otomi	42	U+005e U+007a
^'ñ	ˀɲ	'ñani, 'ñeme	Otomi	42	U+005e U+0027 U+00f1
u̲$	u̲/u	nu'bu̲, gehnu̲	Otomi	41	U+0075 U+0332 U+0024
^s	s	simiya, siriyo	Otomi	41	U+005e U+0073
a̲$	ɔ	'yu̲ga̲, ntsa̲	Otomi	40	U+0061 U+0332 U+0024
k'	kʼ				
'b	ˀb	nu'bu̲, nu'bya	Otomi	38	U+0027 U+0062
e̲$	æ	'ye̲, ts'ijwe̲	Otomi	34	U+0065 U+0332 U+0024
^th	θ	thege, the̲ti	Otomi	33	U+005e U+0074 U+0068
^ñ	ɲ	ñot’i, ñu̲ni	Otomi	33	U+005e U+00f1
^f	f	fuxuhai, fu̲ts'i	Otomi	33	U+005e U+0066
jw	xʷ	ts'ijwe̲, ma nts'äjwai	Otomi	32	U+006a U+0077
äh	ɐ h	ndähi, nthähi	Otomi	31	U+00e4 U+0068
^y	j	yuki, ya jä’i	Otomi	31	U+005e U+0079
'y	ˀj	ndo'yo, bots'u̲ndo'yo 'ye̲	Otomi	31	U+0027 U+0079
^'y	ˀj	'ya, 'yu̲ga̲	Otomi	27	U+005e U+0027 U+0079
ts'	tsʼ	ts'ijwe̲, mat'i Jwä	Otomi	26	U+0027 U+0069
ts’	tsʼ				
t'	t̪ʼ				
^t'	t̪ʼ				
t’	t̪ʼ				
’	ʔ				
'	ʔ				
‘ñ	ˀɲ				
‘r	ˀr				
‘m	ˀm				
‘y	ˀj				
aa$	aː	zaa, mbozaa	Otomi	25	U+0061 U+0061 U+0024
