Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
(źuriny) słup	<???>	(źuriny) słup	Lower Sorbian	1	U+0028 U+017a U+0075 U+0072 U+0069 U+006e U+0079 U+0029 U+0020 U+0073 U+0142 U+0075 U+0070
špic(a)	<???>	špic(a)	Lower Sorbian	1	U+0161 U+0070 U+0069 U+0063 U+0028 U+0061 U+0029
statu(w)a	<???>	statu(w)a	Lower Sorbian	1	U+0073 U+0074 U+0061 U+0074 U+0075 U+0028 U+0077 U+0029 U+0061
ós$	ós	wós	Lower Sorbian	1	U+00f3 U+0073 U+0024
spaś (z)	<???>	spaś (z)	Lower Sorbian	1	U+0073 U+0070 U+0061 U+015b U+0020 U+0028 U+007a U+0029
moskit(o)	<???>	moskit(o)	Lower Sorbian	1	U+006d U+006f U+0073 U+006b U+0069 U+0074 U+0028 U+006f U+0029
^gw	gw	gwežda	Lower Sorbian	1	U+005e U+0067 U+0077
(twarda) zemja	<???>	(twarda) zemja	Lower Sorbian	1	U+0028 U+0074 U+0077 U+0061 U+0072 U+0064 U+0061 U+0029 U+0020 U+007a U+0065 U+006d U+006a U+0061
ěw	ěw	lěwy	Lower Sorbian	1	U+011b U+0077
(z)warnowaś	<???>	(z)warnowaś	Lower Sorbian	1	U+0028 U+007a U+0029 U+0077 U+0061 U+0072 U+006e U+006f U+0077 U+0061 U+015b
(pód)paža	<???>	(pód)paža	Lower Sorbian	1	U+0028 U+0070 U+00f3 U+0064 U+0029 U+0070 U+0061 U+017e U+0061
hap(k)a	<???>	hap(k)a	Lower Sorbian	1	U+0068 U+0061 U+0070 U+0028 U+006b U+0029 U+0061
^ps	ps	psyki	Lower Sorbian	1	U+005e U+0070 U+0073
(palne) drjewo	<???>	(palne) drjewo	Lower Sorbian	1	U+0028 U+0070 U+0061 U+006c U+006e U+0065 U+0029 U+0020 U+0064 U+0072 U+006a U+0065 U+0077 U+006f
sam(sn)y	<???>	sam(sn)y	Lower Sorbian	1	U+0073 U+0061 U+006d U+0028 U+0073 U+006e U+0029 U+0079
ps	ps	kapsa	Lower Sorbian	1	U+0070 U+0073
lw	lw	wulwa	Lower Sorbian	1	U+006c U+0077
ws$	ws	wows	Lower Sorbian	1	U+0077 U+0073 U+0024
dojś (2)	<???>	dojś (2)	Lower Sorbian	1	U+0064 U+006f U+006a U+015b U+0020 U+0028 U+0032 U+0029
-	<?>	nje-	Lower Sorbian	1	U+002d
jw	jw	lejwant	Lower Sorbian	1	U+006a U+0077
(wódowy) kokotk	<???>	(wódowy) kokotk	Lower Sorbian	1	U+0028 U+0077 U+00f3 U+0064 U+006f U+0077 U+0079 U+0029 U+0020 U+006b U+006f U+006b U+006f U+0074 U+006b
rěd (2)	<???>	rěd (2)	Lower Sorbian	1	U+0072 U+011b U+0064 U+0020 U+0028 U+0032 U+0029
pšawy (1)	<???>	pšawy (1)	Lower Sorbian	1	U+0070 U+0161 U+0061 U+0077 U+0079 U+0020 U+0028 U+0031 U+0029
žw	žw	rozžwalony	Lower Sorbian	1	U+017e U+0077
šum (1)	<???>	šum (1)	Lower Sorbian	1	U+0161 U+0075 U+006d U+0020 U+0028 U+0031 U+0029
pjac (2)	<???>	pjac (2)	Lower Sorbian	1	U+0070 U+006a U+0061 U+0063 U+0020 U+0028 U+0032 U+0029
ryś (2)	<???>	ryś (2)	Lower Sorbian	1	U+0072 U+0079 U+015b U+0020 U+0028 U+0032 U+0029
zs	zs	rozsocha	Lower Sorbian	1	U+007a U+0073
