Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
ixqa’al ~ xqa’al ~ qa’al	<???>	ixqa’al ~ xqa’al ~ qa’al	Q'eqchi'	1	U+0069 U+0078 U+0071 U+0061 U+2019 U+0061 U+006c U+0020 U+007e U+0020 U+0078 U+0071 U+0061 U+2019 U+0061 U+006c U+0020 U+007e U+0020 U+0071 U+0061 U+2019 U+0061 U+006c
ll	ll	tzolleb'aal	Q'eqchi'	1	U+006c U+006c
'q$	'q	taqe'q	Q'eqchi'	1	U+0027 U+0071 U+0024
'r$	'r	liib'r	Q'eqchi'	1	U+0027 U+0072 U+0024
rh	rh	porha'	Q'eqchi'	1	U+0072 U+0068
ani (1)	<???>	ani (1)	Q'eqchi'	1	U+0061 U+006e U+0069 U+0020 U+0028 U+0031 U+0029
ps$	ps	paaps	Q'eqchi'	1	U+0070 U+0073 U+0024
c	c	miercools	Q'eqchi'	1	U+0063
triiw (2)	<???>	triiw (2)	Q'eqchi'	1	U+0074 U+0072 U+0069 U+0069 U+0077 U+0020 U+0028 U+0032 U+0029
xw	xw	oxwa	Q'eqchi'	1	U+0078 U+0077
^nw	nw	nwes	Q'eqchi'	1	U+005e U+006e U+0077
